date_collected,site,date_planted,ung_spp,scat_id,last_count,date_lastcount,plant_spp,native_exotic,vegsite_match,seeds_per_fruit
1/26/2010,Ritidian south of grid,1/26/2010,deer,C4,1,3/10/2010,Carica papaya,exotic,ritd grid,721
1/28/2010,Ritd gate,1/28/2010,pig,pig15,14,4/10/2010,Carica papaya,exotic,ritd gate,721
1/28/2010,Ritd gate,1/28/2010,pig,pig16,170,4/10/2010,Carica papaya,exotic,ritd gate,721
1/28/2010,Ritd gate,1/28/2010,pig,pig17,1,4/10/2010,Carica papaya,exotic,ritd gate,721
2/18/2010,Ritd gate,2/18/2010,pig,pig23,10,4/10/2010,Carica papaya,exotic,ritd gate,721
2/18/2010,Ritd gate,2/18/2010,pig,pig24,1,4/10/2010,Carica papaya,exotic,ritd gate,721
2/18/2010,Ritd gate,2/18/2010,pig,pig25,1,4/10/2010,Carica papaya,exotic,ritd gate,721
2/18/2010,Ritd gate,2/18/2010,pig,pig26,19,4/10/2010,Carica papaya,exotic,ritd gate,721
2/18/2010,Ritd gate,2/18/2010,pig,pig27,14,4/10/2010,Carica papaya,exotic,ritd gate,721
2/18/2010,Ritd swbks,1/26/2010,pig,pig4,2,4/10/2010,Carica papaya,exotic,switchbacks,721
2/18/2010,Ritd swbks,1/26/2010,pig,pig5,2,4/10/2010,Carica papaya,exotic,switchbacks,721
6/2/2010,Anao grid,6/2/2010,pig,SS2,1,11/1/2010,Carica papaya,exotic,anao n,721
6/2/2010,Anao grid,6/2/2010,pig,SS4,1,11/1/2010,Carica papaya,exotic,anao n,721
6/4/2010,Ritd pig highway,6/4/2010,pig,SS6,26,11/1/2010,Carica papaya,exotic,ritd gate,721
6/4/2010,Ritd pig highway,6/4/2010,pig,SS8,2,11/1/2010,Carica papaya,exotic,ritd gate,721
3/31/2011,Anao grid,4/5/2011,pig,SS19,1,6/12/2011,Carica papaya,exotic,anao n,721
3/31/2011,Anao grid,4/5/2011,pig,SS20,1,6/12/2011,Carica papaya,exotic,anao n,721
1/6/2011,Anao grid,1/7/2011,pig,SS16,1,6/12/2011,Chromolaena odorata,exotic,anao n,1
6/2/2010,Anao grid,6/2/2010,pig,SS1,1,11/1/2010,Coccinia grandis,exotic,anao n,126
6/2/2010,Anao grid,6/2/2010,pig,SS2,1,11/1/2010,Coccinia grandis,exotic,anao n,126
1/7/2011,S. Blas trail,1/11/2011,pig,SS17,1,6/12/2011,Coccinia grandis,exotic,sblas,126
6/2/2010,Anao grid,6/2/2010,pig,SS1,129,11/1/2010,Ficus prolixa,native,anao n,189
6/2/2010,Anao grid,6/2/2010,pig,SS3,116,11/1/2010,Ficus prolixa,native,anao n,189
6/4/2010,Ritd back road,6/4/2010,pig,SS5,2,11/1/2010,Ficus prolixa,native,ritd grid,189
1/28/2010,Ritd gate,1/28/2010,pig,pig14,1,4/10/2010,Leucaena leucocephala,exotic,ritd gate,22
12/4/2009,S. Blas,12/22/2009,deer,C3,1,3/14/2010,Mikania micrantha,exotic,sblas,1
1/28/2010,Ritd gate,1/28/2010,pig,pig15,34,4/10/2010,Morinda citrifolia,native,ritd gate,164
1/28/2010,Ritd gate,1/28/2010,pig,pig16,111,4/10/2010,Morinda citrifolia,native,ritd gate,164
1/28/2010,Ritd gate,1/28/2010,pig,pig17,1,4/10/2010,Morinda citrifolia,native,ritd gate,164
2/18/2010,Ritd gate,2/18/2010,pig,pig23,27,4/10/2010,Morinda citrifolia,native,ritd gate,164
2/18/2010,Ritd gate,2/18/2010,pig,pig24,11,4/10/2010,Morinda citrifolia,native,ritd gate,164
2/18/2010,Ritd gate,2/18/2010,pig,pig25,30,4/10/2010,Morinda citrifolia,native,ritd gate,164
2/18/2010,Ritd gate,2/18/2010,pig,pig26,14,4/10/2010,Morinda citrifolia,native,ritd gate,164
2/18/2010,Ritd gate,2/18/2010,pig,pig27,22,4/10/2010,Morinda citrifolia,native,ritd gate,164
2/18/2010,Ritd swbks,1/26/2010,pig,pig4,64,4/10/2010,Morinda citrifolia,native,switchbacks,164
2/18/2010,Ritd swbks,1/26/2010,pig,pig5,3,4/10/2010,Morinda citrifolia,native,switchbacks,164
6/2/2010,Anao grid,6/2/2010,pig,SS1,36,11/1/2010,Morinda citrifolia,native,anao n,164
6/2/2010,Anao grid,6/2/2010,pig,SS2,16,11/1/2010,Morinda citrifolia,native,anao n,164
6/2/2010,Anao grid,6/2/2010,pig,SS3,7,11/1/2010,Morinda citrifolia,native,anao n,164
6/2/2010,Anao grid,6/2/2010,pig,SS4,143,11/1/2010,Morinda citrifolia,native,anao n,164
6/4/2010,Ritd back road,6/4/2010,pig,SS5,9,11/1/2010,Morinda citrifolia,native,ritd grid,164
6/4/2010,Ritd pig highway,6/4/2010,pig,SS6,66,11/1/2010,Morinda citrifolia,native,ritd gate,164
6/4/2010,Ritd pig highway,6/4/2010,pig,SS7,184,11/1/2010,Morinda citrifolia,native,ritd gate,164
6/4/2010,Ritd pig highway,6/4/2010,pig,SS8,307,11/1/2010,Morinda citrifolia,native,ritd gate,164
10/28/2010,Ritd gate,11/5/2010,pig,SS12,23,6/12/2011,Morinda citrifolia,native,ritd gate,164
1/7/2011,S. Blas trail,1/11/2011,pig,SS17,11,6/12/2011,Morinda citrifolia,native,sblas,164
12/22/2009,Ritidian switchbacks,12/22/2009,deer,C1,0,3/14/2010,na,na,switchbacks,
12/4/2009,S. Blas,12/22/2009,deer,C2,0,3/14/2010,na,na,sblas,
1/26/2010,Ritidian south of grid,1/26/2010,deer,C7,0,3/14/2010,na,na,ritd grid,
1/26/2010,Ritidian south of grid,1/26/2010,deer,C8,0,3/14/2010,na,na,ritd grid,
1/28/2010,Ritidian clearing,1/28/2010,deer,C9,0,3/14/2010,na,na,ritd gate,
1/28/2010,Ritidian clearing,1/28/2010,deer,C10,0,3/14/2010,na,na,ritd gate,
2/2/2010,S. Blas,2/3/2010,deer,C12,0,3/8/2010,na,na,sblas,
2/16/2010,Anao trail,2/17/2010,deer,C13,0,3/14/2010,na,na,anao s,
2/18/2010,Ritidian behind closed pop,2/18/2010,deer,C14,0,3/14/2010,na,na,ritd gate,
6/2/2010,Anao grid,6/2/2010,deer,cm1,0,9/30/2010,na,na,anao n,
6/4/2010,Ritd pig highway,6/4/2010,deer,cm2,0,9/30/2010,na,na,ritd gate,
6/4/2010,Ritd ochrosia grove,6/4/2010,deer,cm3,0,9/30/2010,na,na,switchbacks,
6/4/2010,Ritd ochrosia grove,6/4/2010,deer,cm4,0,9/30/2010,na,na,switchbacks,
6/9/2010,S. Blas,6/9/2010,deer,cm5,0,9/30/2010,na,na,sblas,
9/24/2010,S. Blas,10/5/2010,deer,cm6,0,11/5/2010,na,na,sblas,
6/9/2010,S. Blas,6/9/2010,pig,SS9,0,11/1/2010,na,na,sblas,
9/24/2010,S. Blas,10/5/2010,pig,SS10,0,6/12/2011,na,na,sblas,
10/15/2010,Ritd gate trail,10/20/2010,pig,SS11,0,6/12/2011,na,na,ritd gate,
12/30/2010,Race Frag,1/6/2011,pig,SS13,0,6/12/2011,na,na,racetrack,
12/30/2010,Race Grid Trail,1/6/2011,pig,SS14,0,6/12/2011,na,na,racetrack,
12/20/2010,Race Int my plot,1/6/2011,pig,SS15,0,6/12/2011,na,na,racetrack,
1/12/2011,Ritd north,1/25/2011,pig,SS18,0,6/12/2011,na,na,ritd grid,
3/31/2011,Anao grid,4/5/2011,pig,SS21,0,6/12/2011,na,na,anao n,
4/12/2011,Anao grid,4/20/2011,pig,SS23,0,6/12/2011,na,na,anao n,
4/12/2011,Anao grid,4/20/2011,pig,SS24,0,6/12/2011,na,na,anao n,
4/12/2011,Ritd grid,4/20/2011,pig,SS25,0,6/12/2011,na,na,ritd grid,
1/26/2010,Ritidian south of grid,1/26/2010,deer,C4,1,3/10/2010,Passiflora sp.,exotic,ritd grid,26
2/2/2010,S. Blas,2/3/2010,deer,C11,8,3/10/2010,Passiflora sp.,exotic,sblas,26
2/18/2010,Ritd gate,2/18/2010,pig,pig23,3,4/10/2010,Passiflora sp.,exotic,ritd gate,26
2/18/2010,Ritd gate,2/18/2010,pig,pig24,1,4/10/2010,Passiflora sp.,exotic,ritd gate,26
2/18/2010,Ritd gate,2/18/2010,pig,pig26,9,4/10/2010,Passiflora sp.,exotic,ritd gate,26
1/26/2010,Ritidian south of grid,1/26/2010,deer,C4,5,3/10/2010,unidentified,unknown,ritd grid,
1/26/2010,Ritidian south of grid,1/26/2010,deer,C5,2,2/3/2010,unidentified,unknown,ritd grid,
6/2/2010,Anao grid,6/2/2010,pig,SS1,5,11/1/2010,unidentified,unknown,anao n,
6/2/2010,Anao grid,6/2/2010,pig,SS3,1,11/1/2010,unidentified,unknown,anao n,
6/2/2010,Anao grid,6/2/2010,pig,SS4,1,11/1/2010,unidentified,unknown,anao n,
3/31/2011,Anao grid,4/5/2011,pig,SS22,1,6/12/2011,unidentified,unknown,anao n,
1/4/2010,Ritidian monument,1/6/2010,deer,C6,1,3/14/2010,Vitex parviflora,exotic,na,
