site,trt,adult trees,avg dbh,canopy cover,avg height
Ritidian Grid,fenced,6,14.67,0.82,9.17
Ritidian Gate,fenced,7,14.57,0.9,8.71
Anao North,fenced,6,10.00,0.84,10.60
Anao South,fenced,7,12.00,0.73,9.43
North Blas,fenced,13,8.23,0.85,7.62
South Blas,fenced,8,6.13,0.76,6.88
Racetrack,fenced,14,4.93,0.9,6.21
Racetrack Fragment,fenced,12,4.00,0.88,7.46
Ritidian Grid,ungulate,5,16.20,0.84,8.30
Ritidian Gate,ungulate,5,11.20,0.85,7.60
Anao North,ungulate,8,19.00,0.84,11.06
Anao South,ungulate,11,6.45,0.79,9.43
North Blas,ungulate,6,4.75,0.82,7.75
South Blas,ungulate,6,6.67,0.74,7.67
Racetrack,ungulate,10,4.93,0.9,6.65
Racetrack Fragment,ungulate,9,4.00,0.89,6.67
