"plant_spp","freq","prop"
"Aglaia mariannensis",190,0.10850942318675
"Aidia cochinchinensis",1,0.000571102227298686
"Artocarpus mariannensis",1,0.000571102227298686
"Carica papaya",1,0.000571102227298686
"Chromolaena odorata",20,0.0114220445459737
"Conyza canadensis",3,0.00171330668189606
"Cycas micronesica",47,0.0268418046830383
"Cynometra ramiflora",15,0.0085665334094803
"Dendrocnide latifolia",5,0.00285551113649343
"Eugenia reinwardtiana",143,0.0816676185037122
"Syzygium thompsonii",9,0.00513992004568818
"Ficus prolixa",4,0.00228440890919475
"Ficus tinctoria",1,0.000571102227298686
"Flagellaria indica",154,0.0879497430039977
"Meiogyne cylindrocarpa",444,0.253569388920617
"Heritiera longipetiolata",1,0.000571102227298686
"Hibiscus tiliaceus",3,0.00171330668189606
"Intsia bijuga",11,0.00628212450028555
"Jasminum sp.",1,0.000571102227298686
"Leucaena leucocephala",4,0.00228440890919475
"Mammea odorata",28,0.0159908623643632
"Macaranga thompsonii",15,0.0085665334094803
"Melanolepis multiglandulosa",1,0.000571102227298686
"Mikania micrantha",1,0.000571102227298686
"Morinda citrifolia",10,0.00571102227298686
"Ochrosia oppositifolia",259,0.14791547687036
"Ochrosia mariannensis",103,0.0588235294117647
"Passiflora suberosa",3,0.00171330668189606
"Pandanus tectorius",19,0.010850942318675
"Peperomia mariannensis",22,0.0125642490005711
"Pisonia grandis",3,0.00171330668189606
"Phymatosorus scolopendria",99,0.05653912050257
"Premna obtusifolia",9,0.00513992004568818
"Psychotria mariana",13,0.00742432895488292
"Tabernaemontana rotensis",1,0.000571102227298686
"Tristiropsis obtusangula",1,0.000571102227298686
"Triphasia trifolia",95,0.0542547115933752
"Vitex parviflora",7,0.00399771559109081
"Wikstroemia elliptica",4,0.00228440890919475
