site,island,pig,deer,totalsdl,nativsdl,nonnativesdl,rationative,grndferns,vines,totepis,shannon,spprichness,shannonsdl,spprichnesssdl
aafbgolf,guam,0.166666667,3.833333334,114,87,25,3.48,17,23,4,2.456259862,25,2.019427646,14
anaon,guam,0.221238938,0.368731564,303,281,14,20.07142857,58,126,37,2.487204883,27,1.956438547,19
anaos,guam,0.128205128,0.384615385,618,603,14,43.07142857,22,68,9,1.387801535,19,0.944338838,12
gw,guam,0.00005,0.00005,1028,907,121,7.495867769,37,296,71,1.501199124,16,1.11941987,9
hmu,guam,0.00005,0.12987013,145,113,32,3.53125,6,17,17,1.762516986,16,1.586642801,9
nblas,guam,0.00005,0.222222222,526,507,19,26.68421053,7,109,22,2.124259416,22,1.806713165,12
nwfield,guam,0.177935943,6.583629895,58,46,12,3.833333333,0,9,4,1.859478808,16,1.548271165,8
race,guam,1.190476191,0.595238095,833,757,49,15.44897959,23,183,27,1.46124273,20,1.162516619,9
ritdgate,guam,0.483558994,2.321083172,185,142,43,3.302325581,10,29,3,2.359217814,18,1.873718035,11
ritdgrid,guam,0.414078675,5.175983435,330,320,10,32,24,9,5,1.682886481,19,1.204073234,11
sblas,guam,0.554323725,5.432372505,207,180,25,7.2,35,28,19,2.315807769,24,1.738744415,9
switchbacks,guam,0.222222222,0.777777778,149,106,42,2.523809524,10,83,18,2.410636469,22,1.907269211,11
tangison,guam,0.129198967,0.00005,1114,903,211,4.279620853,9,250,55,1.608140147,25,1.332470216,13
tartop,guam,0.393700788,10.03937008,71,71,0,71,2,0,11,0.919005312,6,0.692738962,2
