"","plant_spp","freq_nature","native_exotic","freq_pig","freq_deer","treatment","proportion"
"1","Meiogyne cylindrocarpa",444,"native",NA,NA,"prop_nature",0.268765133
"2","Ochrosia oppositifolia",259,"native",NA,NA,"prop_nature",0.156779661
"3","Aglaia mariannensis",190,"native",NA,NA,"prop_nature",0.115012107
"4","Flagellaria indica",154,"native",NA,NA,"prop_nature",0.093220339
"5","Eugenia reinwardtiana",143,"native",NA,NA,"prop_nature",0.086561743
"6","Ochrosia mariannensis",103,"native",NA,NA,"prop_nature",0.062348668
"7","Cycas micronesica",47,"native",NA,NA,"prop_nature",0.028450363
"8","Morinda citrifolia",10,"native",20,NA,"prop_nature",0.006053269
"9","Ficus prolixa",4,"native",3,NA,"prop_nature",0.002421308
"19","Meiogyne cylindrocarpa",444,"native",NA,NA,"prop_pig",NA
"20","Ochrosia oppositifolia",259,"native",NA,NA,"prop_pig",NA
"21","Aglaia mariannensis",190,"native",NA,NA,"prop_pig",NA
"22","Flagellaria indica",154,"native",NA,NA,"prop_pig",NA
"23","Eugenia reinwardtiana",143,"native",NA,NA,"prop_pig",NA
"24","Ochrosia mariannensis",103,"native",NA,NA,"prop_pig",NA
"25","Cycas micronesica",47,"native",NA,NA,"prop_pig",NA
"26","Morinda citrifolia",10,"native",20,NA,"prop_pig",0.555555556
"27","Ficus prolixa",4,"native",3,NA,"prop_pig",0.083333333
"37","Meiogyne cylindrocarpa",444,"native",NA,NA,"prop_deer",NA
"38","Ochrosia oppositifolia",259,"native",NA,NA,"prop_deer",NA
"39","Aglaia mariannensis",190,"native",NA,NA,"prop_deer",NA
"40","Flagellaria indica",154,"native",NA,NA,"prop_deer",NA
"41","Eugenia reinwardtiana",143,"native",NA,NA,"prop_deer",NA
"42","Ochrosia mariannensis",103,"native",NA,NA,"prop_deer",NA
"43","Cycas micronesica",47,"native",NA,NA,"prop_deer",NA
"44","Morinda citrifolia",10,"native",20,NA,"prop_deer",NA
"45","Ficus prolixa",4,"native",3,NA,"prop_deer",NA
"10","Triphasia trifolia",95,"exotic",NA,NA,"prop_nature",0.057506053
"11","Chromolaena odorata",20,"exotic",1,NA,"prop_nature",0.012106538
"12","Vitex parviflora",7,"exotic",NA,1,"prop_nature",0.004237288
"13","Leucaena leucocephala",4,"exotic",1,NA,"prop_nature",0.002421308
"14","Conyza canadensis",3,"exotic",NA,NA,"prop_nature",0.001815981
"15","Passiflora suberosa",3,"exotic",3,2,"prop_nature",0.001815981
"16","Carica papaya",1,"exotic",16,1,"prop_nature",0.000605327
"17","Mikania micrantha",1,"exotic",NA,1,"prop_nature",0.000605327
"18","Coccinia grandis",0,"exotic",3,NA,"prop_nature",0
"28","Triphasia trifolia",95,"exotic",NA,NA,"prop_pig",NA
"29","Chromolaena odorata",20,"exotic",1,NA,"prop_pig",0.027777778
"30","Vitex parviflora",7,"exotic",NA,1,"prop_pig",NA
"31","Leucaena leucocephala",4,"exotic",1,NA,"prop_pig",0.027777778
"32","Conyza canadensis",3,"exotic",NA,NA,"prop_pig",NA
"33","Passiflora suberosa",3,"exotic",3,2,"prop_pig",0.083333333
"34","Carica papaya",1,"exotic",16,1,"prop_pig",0.444444444
"35","Mikania micrantha",1,"exotic",NA,1,"prop_pig",NA
"36","Coccinia grandis",0,"exotic",3,NA,"prop_pig",0.083333333
"46","Triphasia trifolia",95,"exotic",NA,NA,"prop_deer",NA
"47","Chromolaena odorata",20,"exotic",1,NA,"prop_deer",NA
"48","Vitex parviflora",7,"exotic",NA,1,"prop_deer",0.05
"49","Leucaena leucocephala",4,"exotic",1,NA,"prop_deer",NA
"50","Conyza canadensis",3,"exotic",NA,NA,"prop_deer",NA
"51","Passiflora suberosa",3,"exotic",3,2,"prop_deer",0.1
"52","Carica papaya",1,"exotic",16,1,"prop_deer",0.05
"53","Mikania micrantha",1,"exotic",NA,1,"prop_deer",0.05
"54","Coccinia grandis",0,"exotic",3,NA,"prop_deer",NA
