"","island","site","species","trt","plantdt","checkdt","numplant","alive","dead","deer.abundance","pig.abundance","growtime","growtime_st","survival.1","survival.2","propalive"
"1","guam","ann","aglaia","fenced",2010-11-11,2011-06-30,14,11, 3,"low","high",231 days,-0.08966575,11, 3,0.78571429
"2","guam","ans","aglaia","fenced",2010-11-10,2011-06-30,14, 9, 5,"low","low",232 days,-0.08027219, 9, 5,0.64285714
"3","guam","nblas","aglaia","fenced",2010-11-12,2011-06-30,14,11, 3,"low","low",230 days,-0.09905930,11, 3,0.78571429
"4","guam","race","aglaia","fenced",2010-11-12,2011-07-01,14,13, 1,"high","high",231 days,-0.08966575,13, 1,0.92857143
"5","guam","racefr","aglaia","fenced",2010-11-11,2011-07-01,14, 6, 8,"low","low",232 days,-0.08027219, 6, 8,0.42857143
"6","guam","ritdgate","aglaia","fenced",2010-11-12,2011-07-01,14,14, 0,"high","high",231 days,-0.08966575,14, 0,1.00000000
"7","guam","ritdgrid","aglaia","fenced",2010-11-13,2011-07-01,14,12, 2,"high","high",230 days,-0.09905930,12, 2,0.85714286
"8","guam","sblas","aglaia","fenced",2010-11-12,2011-06-30,14,10, 4,"high","low",230 days,-0.09905930,10, 4,0.71428571
"9","guam","ann","aglaia","ungulate",2010-11-11,2011-06-30,14,12, 2,"low","high",231 days,-0.08966575,12, 2,0.85714286
"10","guam","ans","aglaia","ungulate",2010-11-10,2011-06-30,14, 4,10,"low","low",232 days,-0.08027219, 4,10,0.28571429
"11","guam","nblas","aglaia","ungulate",2010-11-12,2011-06-30,14, 9, 5,"low","low",230 days,-0.09905930, 9, 5,0.64285714
"12","guam","race","aglaia","ungulate",2010-11-12,2011-07-01,14,14, 0,"high","high",231 days,-0.08966575,14, 0,1.00000000
"13","guam","racefr","aglaia","ungulate",2010-11-11,2011-07-01,14, 7, 7,"low","low",232 days,-0.08027219, 7, 7,0.50000000
"14","guam","ritdgate","aglaia","ungulate",2010-11-12,2011-07-01,14, 9, 5,"high","high",231 days,-0.08966575, 9, 5,0.64285714
"15","guam","ritdgrid","aglaia","ungulate",2010-11-13,2011-07-01,14,13, 1,"high","high",230 days,-0.09905930,13, 1,0.92857143
"16","guam","sblas","aglaia","ungulate",2010-11-12,2011-06-30,14, 8, 6,"high","low",230 days,-0.09905930, 8, 6,0.57142857
"31","guam","ann","carica","fenced",2010-04-10,2010-10-10,14,13, 1,"low","high",183 days,-0.54055638,13, 1,0.92857143
"32","guam","ans","carica","fenced",2010-04-10,2010-10-10,14, 4,10,"low","low",183 days,-0.54055638, 4,10,0.28571429
"33","guam","nblas","carica","fenced",2010-04-10,2010-10-10,14, 1,13,"low","low",183 days,-0.54055638, 1,13,0.07142857
"34","guam","race","carica","fenced",2010-04-10,2010-10-10,14, 4,10,"high","high",183 days,-0.54055638, 4,10,0.28571429
"35","guam","racefr","carica","fenced",2010-04-10,2010-10-10,14,14, 0,"low","low",183 days,-0.54055638,14, 0,1.00000000
"36","guam","ritdgate","carica","fenced",2010-04-07,2010-10-10,14,13, 1,"high","high",186 days,-0.51237571,13, 1,0.92857143
"37","guam","ritdgrid","carica","fenced",2010-04-10,2010-10-10,14,11, 3,"high","high",183 days,-0.54055638,11, 3,0.78571429
"38","guam","sblas","carica","fenced",2010-04-10,2010-10-10,14,14, 0,"high","low",183 days,-0.54055638,14, 0,1.00000000
"39","guam","ann","carica","ungulate",2010-04-10,2010-10-10,14,13, 1,"low","high",183 days,-0.54055638,13, 1,0.92857143
"40","guam","ans","carica","ungulate",2010-04-10,2010-10-10,14, 0,14,"low","low",183 days,-0.54055638, 0,14,0.00000000
"41","guam","nblas","carica","ungulate",2010-04-10,2010-10-10,14, 0,14,"low","low",183 days,-0.54055638, 0,14,0.00000000
"42","guam","race","carica","ungulate",2010-04-10,2010-10-10,14,11, 3,"high","high",183 days,-0.54055638,11, 3,0.78571429
"43","guam","racefr","carica","ungulate",2010-04-10,2010-10-10,14,10, 4,"low","low",183 days,-0.54055638,10, 4,0.71428571
"44","guam","ritdgate","carica","ungulate",2010-04-07,2010-10-10,14, 2,12,"high","high",186 days,-0.51237571, 2,12,0.14285714
"45","guam","ritdgrid","carica","ungulate",2010-04-10,2010-10-10,14, 1,13,"high","high",183 days,-0.54055638, 1,13,0.07142857
"46","guam","sblas","carica","ungulate",2010-04-10,2010-10-10,14, 0,14,"high","low",183 days,-0.54055638, 0,14,0.00000000
"61","guam","ann","morinda","fenced",2010-06-17,2011-06-30,14,12, 2,"low","high",378 days, 1.29118679,12, 2,0.85714286
"62","guam","ans","morinda","fenced",2010-06-17,2011-06-30,14, 8, 6,"low","low",378 days, 1.29118679, 8, 6,0.57142857
"63","guam","nblas","morinda","fenced",2010-06-17,2011-06-30,14,13, 1,"low","low",378 days, 1.29118679,13, 1,0.92857143
"64","guam","race","morinda","fenced",2010-06-24,2011-07-01,14,14, 0,"high","high",372 days, 1.23482546,14, 0,1.00000000
"65","guam","racefr","morinda","fenced",2010-06-24,2011-07-01,14, 6, 8,"low","low",372 days, 1.23482546, 6, 8,0.42857143
"66","guam","ritdgate","morinda","fenced",2010-06-16,2011-07-01,14,14, 0,"high","high",380 days, 1.30997390,14, 0,1.00000000
"67","guam","ritdgrid","morinda","fenced",2010-06-17,2011-07-01,14, 9, 5,"high","high",379 days, 1.30058035, 9, 5,0.64285714
"68","guam","sblas","morinda","fenced",2010-06-17,2011-06-30,14,14, 0,"high","low",378 days, 1.29118679,14, 0,1.00000000
"69","guam","ann","morinda","ungulate",2010-06-17,2011-06-30,14,10, 4,"low","high",378 days, 1.29118679,10, 4,0.71428571
"70","guam","ans","morinda","ungulate",2010-06-17,2011-06-30,14,11, 3,"low","low",378 days, 1.29118679,11, 3,0.78571429
"71","guam","nblas","morinda","ungulate",2010-06-17,2011-06-30,14,13, 1,"low","low",378 days, 1.29118679,13, 1,0.92857143
"72","guam","race","morinda","ungulate",2010-06-24,2011-07-01,14,11, 3,"high","high",372 days, 1.23482546,11, 3,0.78571429
"73","guam","racefr","morinda","ungulate",2010-06-24,2011-07-01,14,11, 3,"low","low",372 days, 1.23482546,11, 3,0.78571429
"74","guam","ritdgate","morinda","ungulate",2010-06-16,2011-07-01,14, 5, 9,"high","high",380 days, 1.30997390, 5, 9,0.35714286
"75","guam","ritdgrid","morinda","ungulate",2010-06-17,2011-07-01,14, 5, 9,"high","high",379 days, 1.30058035, 5, 9,0.35714286
"76","guam","sblas","morinda","ungulate",2010-06-17,2011-06-30,14, 2,12,"high","low",378 days, 1.29118679, 2,12,0.14285714
"91","guam","ann","neiso","fenced",2010-05-08,2011-06-30, 7, 7, 0,"low","high",418 days, 1.66692898, 7, 0,1.00000000
"92","guam","ans","neiso","fenced",2010-05-11,2011-06-30, 7, 3, 4,"low","low",415 days, 1.63874832, 3, 4,0.42857143
"93","guam","nblas","neiso","fenced",2010-05-12,2011-06-30, 7, 7, 0,"low","low",414 days, 1.62935476, 7, 0,1.00000000
"94","guam","race","neiso","fenced",2010-05-11,2011-07-01, 7, 7, 0,"high","high",416 days, 1.64814187, 7, 0,1.00000000
"95","guam","racefr","neiso","fenced",2010-05-12,2011-07-01, 7, 6, 1,"low","low",415 days, 1.63874832, 6, 1,0.85714286
"96","guam","ritdgate","neiso","fenced",2010-05-14,2011-07-01, 7, 4, 3,"high","high",413 days, 1.61996121, 4, 3,0.57142857
"97","guam","ritdgrid","neiso","fenced",2010-05-16,2011-07-01, 7, 7, 0,"high","high",411 days, 1.60117410, 7, 0,1.00000000
"98","guam","sblas","neiso","fenced",2010-05-14,2011-06-30, 7, 7, 0,"high","low",412 days, 1.61056765, 7, 0,1.00000000
"99","guam","ann","neiso","ungulate",2010-05-08,2011-06-30, 7, 7, 0,"low","high",418 days, 1.66692898, 7, 0,1.00000000
"100","guam","ans","neiso","ungulate",2010-05-11,2011-06-30, 7, 4, 3,"low","low",415 days, 1.63874832, 4, 3,0.57142857
"101","guam","nblas","neiso","ungulate",2010-05-12,2011-06-30, 7, 7, 0,"low","low",414 days, 1.62935476, 7, 0,1.00000000
"102","guam","race","neiso","ungulate",2010-05-11,2011-07-01, 7, 7, 0,"high","high",416 days, 1.64814187, 7, 0,1.00000000
"103","guam","racefr","neiso","ungulate",2010-05-12,2011-07-01, 7, 7, 0,"low","low",415 days, 1.63874832, 7, 0,1.00000000
"104","guam","ritdgate","neiso","ungulate",2010-05-14,2011-07-01, 7, 3, 4,"high","high",413 days, 1.61996121, 3, 4,0.42857143
"105","guam","ritdgrid","neiso","ungulate",2010-05-16,2011-07-01, 7, 5, 2,"high","high",411 days, 1.60117410, 5, 2,0.71428571
"106","guam","sblas","neiso","ungulate",2010-05-14,2011-06-30, 7, 6, 1,"high","low",412 days, 1.61056765, 6, 1,0.85714286
"121","guam","ann","premna","fenced",2010-12-04,2011-06-30,14, 0,14,"low","high",208 days,-0.30571751, 0,14,0.00000000
"122","guam","ans","premna","fenced",2010-12-04,2011-06-30,14, 0,14,"low","low",208 days,-0.30571751, 0,14,0.00000000
"123","guam","nblas","premna","fenced",2010-12-07,2011-06-30,14, 8, 6,"low","low",205 days,-0.33389817, 8, 6,0.57142857
"124","guam","race","premna","fenced",2010-12-07,2011-07-01,14, 7, 7,"high","high",206 days,-0.32450462, 7, 7,0.50000000
"125","guam","racefr","premna","fenced",2010-12-07,2011-07-01,14, 0,14,"low","low",206 days,-0.32450462, 0,14,0.00000000
"126","guam","ritdgate","premna","fenced",2010-12-07,2011-07-01,14,12, 2,"high","high",206 days,-0.32450462,12, 2,0.85714286
"127","guam","ritdgrid","premna","fenced",2010-12-08,2011-07-01,14, 0,14,"high","high",205 days,-0.33389817, 0,14,0.00000000
"128","guam","sblas","premna","fenced",2010-12-07,2011-06-30,14, 9, 5,"high","low",205 days,-0.33389817, 9, 5,0.64285714
"129","guam","ann","premna","ungulate",2010-12-04,2011-06-30,14, 0,14,"low","high",208 days,-0.30571751, 0,14,0.00000000
"130","guam","ans","premna","ungulate",2010-12-04,2011-06-30,14, 0,14,"low","low",208 days,-0.30571751, 0,14,0.00000000
"131","guam","nblas","premna","ungulate",2010-12-07,2011-06-30,14, 2,12,"low","low",205 days,-0.33389817, 2,12,0.14285714
"132","guam","race","premna","ungulate",2010-12-07,2011-07-01,14, 8, 6,"high","high",206 days,-0.32450462, 8, 6,0.57142857
"133","guam","racefr","premna","ungulate",2010-12-07,2011-07-01,14, 0,14,"low","low",206 days,-0.32450462, 0,14,0.00000000
"134","guam","ritdgate","premna","ungulate",2010-12-07,2011-07-01,14, 3,11,"high","high",206 days,-0.32450462, 3,11,0.21428571
"135","guam","ritdgrid","premna","ungulate",2010-12-08,2011-07-01,14, 4,10,"high","high",205 days,-0.33389817, 4,10,0.28571429
"136","guam","sblas","premna","ungulate",2010-12-07,2011-06-30,14, 1,13,"high","low",205 days,-0.33389817, 1,13,0.07142857
"151","guam","ann","psychotria","fenced",2011-03-10,2011-06-30,14,12, 2,"low","high",112 days,-1.20749876,12, 2,0.85714286
"152","guam","ans","psychotria","fenced",2011-03-10,2011-06-30,14, 6, 8,"low","low",112 days,-1.20749876, 6, 8,0.42857143
"153","guam","nblas","psychotria","fenced",2011-03-09,2011-06-30,14,12, 2,"low","low",113 days,-1.19810520,12, 2,0.85714286
"154","guam","race","psychotria","fenced",2011-03-09,2011-07-01,14,14, 0,"high","high",114 days,-1.18871165,14, 0,1.00000000
"155","guam","racefr","psychotria","fenced",2011-03-11,2011-07-01,14, 5, 9,"low","low",112 days,-1.20749876, 5, 9,0.35714286
"156","guam","ritdgate","psychotria","fenced",2011-03-11,2011-07-01,14,14, 0,"high","high",112 days,-1.20749876,14, 0,1.00000000
"157","guam","ritdgrid","psychotria","fenced",2011-03-12,2011-07-01,14,13, 1,"high","high",111 days,-1.21689231,13, 1,0.92857143
"158","guam","sblas","psychotria","fenced",2011-03-12,2011-06-30,14,11, 3,"high","low",110 days,-1.22628587,11, 3,0.78571429
"159","guam","ann","psychotria","ungulate",2011-03-10,2011-06-30,14, 8, 6,"low","high",112 days,-1.20749876, 8, 6,0.57142857
"160","guam","ans","psychotria","ungulate",2011-03-10,2011-06-30,14, 4,10,"low","low",112 days,-1.20749876, 4,10,0.28571429
"161","guam","nblas","psychotria","ungulate",2011-03-09,2011-06-30,14, 5, 9,"low","low",113 days,-1.19810520, 5, 9,0.35714286
"162","guam","race","psychotria","ungulate",2011-03-09,2011-07-01,14,11, 3,"high","high",114 days,-1.18871165,11, 3,0.78571429
"163","guam","racefr","psychotria","ungulate",2011-03-11,2011-07-01,14, 4,10,"low","low",112 days,-1.20749876, 4,10,0.28571429
"164","guam","ritdgate","psychotria","ungulate",2011-03-11,2011-07-01,14,11, 3,"high","high",112 days,-1.20749876,11, 3,0.78571429
"165","guam","ritdgrid","psychotria","ungulate",2011-03-12,2011-07-01,14, 6, 8,"high","high",111 days,-1.21689231, 6, 8,0.42857143
"166","guam","sblas","psychotria","ungulate",2011-03-12,2011-06-30,14, 5, 9,"high","low",110 days,-1.22628587, 5, 9,0.35714286
